Frequency(MHz),VSWR,Reflection Coefficient
50.0,15.968529880992273,0.8821347509756664
54.75,16.78669396599538,0.887556394469731
59.5,12.886318097174588,0.855973341097023
64.25,11.138131757778341,0.8352299975061349
69.0,10.354111272822522,0.8238523516334344
73.75,8.081342533590622,0.7797682454326242
78.5,8.825082377502017,0.7964393657828556
83.25,8.6641042349027,0.7930485897723623
88.0,7.056264688053817,0.7517459917912469
92.75,5.951944194869351,0.7123106941111477
97.5,4.775067287282193,0.6536836887763396
102.25,3.433058102346086,0.5488441717148824
107.0,2.160965727559235,0.36728197254314554
111.75,1.3758170635500684,0.15818434395302433
116.5,1.2014562053688878,0.09151043063113339
121.25,1.5782485378401638,0.2242795949860486
126.0,2.120273813663992,0.3590306109541415
130.75,2.636051762348283,0.449952825009198
135.5,3.01372416037353,0.5017096541547404
140.25,3.416146291658614,0.5471164522385329
145.0,3.8602437400432215,0.5884980040152854
149.75,4.093288054399831,0.607326352124871
154.5,4.081086053943898,0.6063833639566848
159.25,4.193416837222057,0.6148970778417636
164.0,4.374969773746233,0.6279048842713687
168.75,4.329504450782934,0.6247305882808318
173.5,4.237060976300813,0.6181064133011688
178.25,4.3351051895337775,0.6251245422632847
183.0,4.555125824470748,0.6399721512715609
187.75,4.487854945110293,0.6355588804725951
192.5,4.223060984471965,0.617082778480674
197.25,4.181100714870385,0.6139816401831838
202.0,4.3905562638340365,0.6289807763591547
206.75,4.516693524028869,0.6374640006212653
211.5,4.506315313998285,0.6367806988975817
216.25,4.655203574641982,0.6463434121155196
221.0,4.948582680372769,0.6637854582405048
225.75,4.997725067385606,0.6665402335836319
230.5,4.8162206739096645,0.6561340925437068
235.25,4.6554073125978075,0.6463561527133752
240.0,4.5993999096531875,0.6428188676875778
244.75,4.355609674321818,0.6265597902720085
249.5,4.004674630872006,0.6003736211615572
254.25,3.767900848169162,0.5805281897235793
259.0,3.683162376027191,0.572938147471061
263.75,3.546821933554954,0.5601323233618937
268.5,3.332295145730894,0.5383509357688087
273.25,3.1432911340293272,0.5172919461116865
278.0,3.0505120714317853,0.5062352698302082
282.75,2.917885986935263,0.4895206224302394
287.5,2.732053704929597,0.46410203117971244
292.25,2.6359984929315456,0.44994476650965615
297.0,2.6047556967181875,0.445177380031378
301.75,2.5643427869027047,0.43888674025711943
306.5,2.467840052029993,0.42327213193432994
311.25,2.37705181552233,0.40776745242487217
316.0,2.29321717405079,0.39269113019354285
320.75,2.1783729132032383,0.3707472173287705
325.5,2.019283027360064,0.3375910830894455
330.25,1.876555591921171,0.3047240228497528
335.0,1.7382056065419487,0.2695946589176043
339.75,1.542243764564654,0.21329337969976706
344.5,1.3450238095368585,0.1471301946418192
349.25,1.2074396576611115,0.09397296861147442
354.0,1.1591217644622265,0.0736974482316235
358.75,1.1859328525000388,0.08505881243670803
363.5,1.235849201307581,0.10548528996036519
368.25,1.2796559220219768,0.1226746191477578
373.0,1.3438602373632198,0.1467068009780538
377.75,1.4599410591480857,0.18697239002440577
382.5,1.587000266648739,0.22690382920182417
387.25,1.7083278428492428,0.26153696448508995
392.0,1.8377970265002137,0.2952279598141128
396.75,2.008538415242019,0.33522537393323865
401.5,2.1368058595465085,0.3624087401159272
406.25,2.1908111035788194,0.3732001252732271
411.0,2.22291197291348,0.379443181567252
415.75,2.2600783743705666,0.3865178163435576
420.5,2.25948893989934,0.3864068763915596
425.25,2.193916411118065,0.373809535829437
430.0,2.128241431175175,0.3606631572395398
434.75,2.077594373701204,0.3501417805119192
439.5,2.0167275928958626,0.3370299642865235
444.25,1.9234191838475405,0.315869577975547
449.0,1.8592388253339358,0.30051313577612176
453.75,1.8499682355201257,0.2982377925924513
458.5,1.8616088443830066,0.301092459255653
463.25,1.8661851396871545,0.3022083701758705
468.0,1.892395209813441,0.3085315612422828
472.75,1.9543200154487916,0.3230252682371718
477.5,1.993153128458699,0.33180832581396047
482.25,1.9941032120433295,0.3320203552251301
487.0,1.9791765071094523,0.32867354612013194
491.75,1.968393801252329,0.32623494929944125
496.5,1.9456380453302276,0.32102995370709725
501.25,1.8658054352064326,0.3021159163738085
506.0,1.7618427377995995,0.2758458066321947
510.75,1.6602138640361666,0.2481807470300406
515.5,1.545356742783847,0.21425552403605025
520.25,1.418663003314392,0.1730968732480223
525.0,1.308614308619147,0.13367945761530808
529.75,1.2511239982718017,0.11155493809518738
534.5,1.2291728025864586,0.10280620789943008
539.25,1.2285496874675448,0.10255534743192626
544.0,1.2463000601953238,0.10964699888487157
548.75,1.2807441031505378,0.12309320574926756
553.5,1.3002955280203077,0.13054649907472965
558.25,1.2940450924194342,0.12817755561610036
563.0,1.2728972169590262,0.12006579748649748
567.75,1.2360130157001807,0.10555082373985025
572.5,1.1827042243804415,0.0837054431560932
577.25,1.1065139348169404,0.050564077956691364
582.0,1.0249315512460009,0.012312293336858583
586.75,1.0597852694461871,0.02902500097122331
591.5,1.1394819032804104,0.06519424308592962
596.25,1.220095536775294,0.09913786732573873
601.0,1.301380695600388,0.1309564715548998
605.75,1.3611781314493165,0.15296521962433282
610.5,1.399645055686696,0.16654340388367622
615.25,1.4241778647647323,0.17497802901764353
620.0,1.4200093608291033,0.17355691578201451
624.75,1.3893955619246037,0.16296822850501758
629.5,1.3316928040141671,0.14225407542671806
634.25,1.2543844121182985,0.11283985586081563
639.0,1.1821509968505513,0.0834731405450152
643.75,1.1171665523180545,0.055341206949340166
648.5,1.0600885926335615,0.029167965323639695
653.25,1.0078239831979323,0.003896747555266671
658.0,1.030857654187415,0.015194395394374345
662.75,1.0612235399187242,0.02970252315337834
667.5,1.0725146115131057,0.034988709421046815
672.25,1.079623109190072,0.03828727851609713
677.0,1.0831196855727367,0.03990154101485712
681.75,1.0890628426717484,0.042632916948464716
686.5,1.1100701440294443,0.0521642109106627
691.25,1.1414997157475917,0.06607505698322942
